run,best,mean_so_far,std_so_far,secs
1,675,675.00,0.00,17.28
2,675,675.00,0.00,17.97
3,675,675.00,0.00,17.39
4,680,676.25,2.17,17.21
5,675,676.00,2.00,17.52
6,675,675.83,1.86,17.57
7,675,675.71,1.75,17.46
8,675,675.62,1.65,17.39
9,675,675.56,1.57,17.21
10,675,675.50,1.50,17.12
11,676,675.55,1.44,16.95
12,677,675.67,1.43,17.40
13,675,675.62,1.39,17.52
14,676,675.64,1.34,17.18
15,675,675.60,1.31,17.01
16,675,675.56,1.27,17.18
17,677,675.65,1.28,17.28
18,675,675.61,1.25,16.98
19,675,675.58,1.23,17.03
20,675,675.55,1.20,16.96
21,675,675.52,1.18,16.96
22,675,675.50,1.16,17.18
23,675,675.48,1.14,17.03
24,679,675.62,1.32,17.96
25,675,675.60,1.30,17.17
26,675,675.58,1.28,17.18
27,677,675.63,1.28,17.08
28,675,675.61,1.26,17.61
29,675,675.59,1.25,16.80
30,680,675.73,1.46,17.18
